"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2017",251.134,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2016",223.444,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Albania","ADM-IR - General Directorate of Taxation","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2015",186.882,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time workers | Currency: ALB - Lek (ALL)","Reference group coverage: Insured persons"
"Argentina","LFS - Permanent Household Survey, Urban","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2023",403.461,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2022",633.322,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2021",317.785,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2020",286.924,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2019",385.195,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2018",520.362,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2017",682.9,,,"Currency: ARG - Argentine peso (ARS)","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2014",627.672,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2013",650.024,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2012",733.25,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Argentina","LFS - Permanent Household Survey, Urban","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2011",702.054,,,"Currency: ARG - Argentine peso (ARS) | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.","Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas"
"Armenia","LFS - Household Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2017",163.119,,,"Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2016",137.151,,,"Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2015",182.904,,,"Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: ARM - Dram (AMD)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Armenia","LFS - Household Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2014",219.627,"Break in series",,"Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: ARM - Dram (AMD) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2023",2956.269,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2022",2986.489,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2021",3397.303,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2020",3356.942,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2019",2720.906,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2018",2617.918,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2017",2364.37,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2016",2848.957,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2015",2376.258,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2014",3638.56,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2013",3335.198,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2012",2572.848,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Austria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2011",2681.38,,,"Currency: AUT - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Burundi","HIES - Living Standards Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2020",90.189,,,"Currency: BDI - Burundian franc (BIF)","Repository: ILO-STATISTICS - Micro data processing"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2023",5127.9,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2022",5148.204,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2021",6565.902,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2020",6785.433,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2019",3831.299,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2018",5082.088,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2017",3751.458,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2016",4618.156,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2015",4256.744,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2014",4370.824,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2013",4585.692,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2012",4918.615,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Belgium","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2011",4851.751,,,"Currency: BEL - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Benin","HIES - Monitoring Survey of the Modular and Integrated Survey of Household Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2022",53.859,,,"Currency: BEN - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2024",103.97,"Unreliable",,"Currency: BFA - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Regional Integrated Survey on Employment and the Informal Sector","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2023",83.634,,,"Currency: BFA - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","HIES - Harmonized Survey on Household Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2022",57.599,,,"Currency: BFA - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Burkina Faso","LFS - Regional Integrated Survey on Employment and the Informal Sector","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2018",98.432,,,"Currency: BFA - West African CFA franc (XOF)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2023",88.285,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2022",100.501,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2017",104.208,,,"Currency: BGD - Taka (BDT)","Repository: ILO-STATISTICS - Micro data processing"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2016",125.886,,,"Central tendency measure: Weighted mean | Working time arrangement coverage: Full-time and part time workers | Currency: BGD - Taka (BDT)","Population coverage: Excluding both institutional population and armed forces and/or conscripts"
"Bangladesh","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2013",125.936,"Break in series",,"Currency: BGD - Taka (BDT) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2023",607.15,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2022",547.095,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2021",542.018,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2020",426.515,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2019",518.402,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2018",341.672,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2017",363.231,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2016",292.119,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2015",341.35,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2014",324.347,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2013",299.539,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2012",366.568,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bulgaria","HIES - EU Statistics on Income and Living Conditions","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2011",319.294,,,"Currency: BGR - Euro (EUR)","Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 16 years old"
"Bahamas","LFS - Labour Force & Household Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2019",3284.258,,,"Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: BHS - Bahamian dollar (BSD)","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2023",743.861,"Break in series",,"Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2022",662.97,"Break in series",,"Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
"Bosnia and Herzegovina","LFS - Labour Force Survey","Average monthly earnings of employees by sex and occupation","Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","Currency: U.S. dollars","2021",735.642,"Break in series",,"Central tendency measure: Mean or mean of the midpoints of the intervals provided | Currency: BIH - Marka (BAM) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
